[2024-10-04T21:43:17.471Z] Event: {addDir}, File: {src\utils}
[2024-10-04T21:56:18.013Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:56:24.980Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:56:32.430Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:57:15.115Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:57:32.586Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:57:43.320Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:57:46.540Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:58:10.236Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:58:15.441Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:58:27.499Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:58:47.830Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:58:52.358Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:59:05.020Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:59:07.054Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:59:35.758Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T21:59:55.090Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:00:13.944Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:00:33.486Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:01:03.483Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:01:16.488Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:01:22.417Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:01:35.782Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:01:45.659Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:01:48.531Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:02:05.650Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:02:33.058Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:03:33.521Z] Event: {unlink}, File: {node_modules\.cache\default-development\5.pack_}
[2024-10-04T22:03:49.098Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:04:30.968Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:04:45.722Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:05:20.383Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:05:40.965Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:06:07.775Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:06:31.841Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:06:35.607Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:06:39.228Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:07:39.500Z] Event: {change}, File: {node_modules\.cache\default-development\5.pack}
[2024-10-04T22:07:44.781Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:08:44.985Z] Event: {change}, File: {node_modules\.cache\default-development\6.pack}
[2024-10-04T22:09:23.313Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:09:53.633Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:10:02.061Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:10:20.841Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:10:38.232Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:10:47.429Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:11:04.577Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:11:13.363Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:11:31.478Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:11:52.667Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:12:40.273Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:12:51.504Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:13:10.608Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:13:25.237Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:14:05.038Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:14:09.134Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:14:12.806Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:14:16.118Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:14:18.351Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:14:35.246Z] Event: {change}, File: {src\styles\main.css}
[2024-10-04T22:15:35.623Z] Event: {unlink}, File: {node_modules\.cache\default-development\8.pack_}
[2024-10-04T22:15:48.673Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:15:54.697Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:16:02.046Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:16:46.951Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:17:47.262Z] Event: {unlink}, File: {node_modules\.cache\default-development\9.pack_}
[2024-10-04T22:18:01.155Z] Event: {change}, File: {src\data\posts.json}
[2024-10-04T22:18:05.674Z] Event: {change}, File: {src\data\posts.json}
[2024-10-04T22:18:51.082Z] Event: {change}, File: {src\components\Controls.js}
[2024-10-04T22:19:06.167Z] Event: {unlink}, File: {node_modules\.cache\default-development\2.pack_}
[2024-10-04T22:21:25.824Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:21:35.385Z] Event: {change}, File: {src\components\Controls.js}
[2024-10-04T22:22:20.389Z] Event: {change}, File: {src\components\Controls.js}
[2024-10-04T22:22:26.077Z] Event: {change}, File: {node_modules\.cache\default-development\4.pack}
[2024-10-04T22:22:32.988Z] Event: {change}, File: {src\components\BlogPost.js}
[2024-10-04T22:22:34.669Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:22:41.267Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:23:13.478Z] Event: {change}, File: {src\components\Controls.js}
[2024-10-04T22:23:24.127Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:24:25.197Z] Event: {change}, File: {node_modules\.cache\default-development\4.pack}
[2024-10-04T22:24:25.840Z] Event: {unlink}, File: {node_modules\.cache\default-development\9.pack_}
[2024-10-04T22:26:20.329Z] Event: {change}, File: {src\components\Controls.js}
[2024-10-04T22:26:27.064Z] Event: {change}, File: {src\components\Controls.js}
[2024-10-04T22:26:45.364Z] Event: {change}, File: {src\components\Controls.js}
[2024-10-04T22:27:01.127Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:28:01.437Z] Event: {unlink}, File: {node_modules\.cache\default-development\2.pack_}
[2024-10-04T22:28:58.623Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:29:00.848Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:29:06.850Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:29:32.380Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:29:47.265Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:29:50.442Z] Event: {change}, File: {src\components\Controls.js}
[2024-10-04T22:30:47.662Z] Event: {change}, File: {node_modules\.cache\default-development\3.pack}
[2024-10-04T22:31:52.806Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:32:01.717Z] Event: {change}, File: {src\components\Controls.js}
[2024-10-04T22:32:11.876Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:33:01.423Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:33:03.005Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:33:04.520Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:33:25.226Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:33:44.254Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:33:45.234Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:33:50.336Z] Event: {change}, File: {src\components\Controls.js}
[2024-10-04T22:33:55.983Z] Event: {add}, File: {node_modules\.cache\babel-loader\5ba700fecabcbec3a648f0e33623a2821f402e84defcacd34264cf298ec8d48a.json}
[2024-10-04T22:33:57.182Z] Event: {change}, File: {node_modules\.cache\default-development\7.pack}
[2024-10-04T22:34:23.278Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:34:25.354Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:34:26.552Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:35:03.569Z] Event: {add}, File: {node_modules\.cache\babel-loader\794536333fa7bb284ef04452b0b1417d4fa946f301c217fd83e09fa062adcd5c.json}
[2024-10-04T22:35:12.085Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:35:15.555Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:35:40.472Z] Event: {add}, File: {node_modules\.cache\babel-loader\e0ab4185526d742c65015c4705ffa2372c5489bb1f530307d2ba710b5b055282.json}
[2024-10-04T22:36:40.792Z] Event: {unlink}, File: {node_modules\.cache\default-development\8.pack_}
[2024-10-04T22:37:35.775Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:38:16.786Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:38:27.500Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:38:30.135Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:38:42.470Z] Event: {add}, File: {node_modules\.cache\babel-loader\c586269f6bff072e971e98758bf958640f95452dd6a9e9c46b6e6f5909371861.json}
[2024-10-04T22:38:44.095Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:39:37.662Z] Event: {add}, File: {node_modules\.cache\babel-loader\ae50a7c47606b6c24394ca4dad6e4568dfa8cd8d7cac24229aac0fafa452aa0f.json}
[2024-10-04T22:40:40.459Z] Event: {change}, File: {node_modules\.cache\default-development\8.pack}
[2024-10-04T22:41:30.721Z] Event: {add}, File: {node_modules\.cache\babel-loader\de48ca921c675874d017a189fc105d2959565d3011abc0ef7ac02b4efd499564.json}
[2024-10-04T22:41:35.953Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
[2024-10-04T22:41:48.383Z] Event: {change}, File: {node_modules\.cache\.eslintcache}
